Column1,Column2
104.22.66.168,132
104.22.72.22,132
104.27.192.45,132
104.27.194.30,132
104.27.195.96,132
104.27.197.149,132
104.27.202.243,132
104.27.201.213,132
104.27.203.154,132
104.27.203.201,132
172.67.49.12,132
172.67.56.37,132
172.67.61.176,132
104.22.64.97,133
104.22.65.184,133
104.22.65.154,133
104.22.65.40,133
104.22.66.19,133
104.22.66.81,133
104.22.67.65,133
104.22.67.159,133
104.22.67.206,133
104.22.67.105,133
104.22.68.87,133
104.22.69.12,133
104.22.70.255,133
104.22.71.30,133
104.22.71.108,133
104.22.70.150,133
104.22.72.17,133
104.22.71.217,133
104.22.71.155,133
104.22.72.133,133
104.22.73.250,133
104.22.74.114,133
104.22.73.151,133
104.22.76.47,133
104.22.76.26,133
104.22.75.10,133
104.22.76.198,133
104.22.77.225,133
104.22.76.187,133
104.22.78.191,133
104.22.78.142,133
104.22.77.133,133
104.22.79.139,133
104.22.79.126,133
104.22.79.107,133
104.22.79.148,133
104.22.79.213,133
104.22.79.231,133
104.27.194.10,133
104.27.195.89,133
104.27.195.150,133
104.27.194.75,133
104.27.194.52,133
104.27.197.202,133
104.27.198.186,133
104.27.196.249,133
104.27.197.106,133
104.27.198.137,133
104.27.197.159,133
104.27.199.102,133
104.27.199.172,133
104.27.202.253,133
104.27.201.200,133
104.27.202.148,133
104.27.202.158,133
104.27.201.208,133
104.27.203.221,133
104.27.204.241,133
104.27.206.176,133
104.27.206.191,133
104.27.206.211,133
172.67.56.47,133
172.67.56.235,133
172.67.57.20,133
172.67.50.240,133
172.67.51.8,133
172.67.51.228,133
172.67.53.20,133
172.67.56.58,133
172.67.56.136,133
172.67.58.248,133
172.67.61.208,133
104.22.64.136,134
104.22.65.87,134
104.22.64.193,134
104.22.65.94,134
104.22.69.35,134
104.22.68.72,134
104.22.70.46,134
104.22.69.211,134
104.22.72.152,134
104.22.70.107,134
104.22.73.32,134
104.22.73.47,134
104.22.73.208,134
104.22.73.222,134
104.22.74.139,134
104.22.75.73,134
104.22.74.207,134
104.22.75.123,134
104.22.76.196,134
104.22.77.29,134
104.22.76.147,134
104.22.77.94,134
104.22.77.120,134
104.22.77.42,134
104.22.76.185,134
104.22.79.66,134
104.22.77.253,134
104.22.77.74,134
104.22.78.80,134
104.22.79.76,134
104.22.77.122,134
104.22.79.208,134
104.27.195.157,134
104.27.195.24,134
104.27.194.134,134
104.27.194.183,134
104.27.195.233,134
104.27.196.22,134
104.27.196.18,134
104.27.196.209,134
104.27.197.69,134
104.27.197.181,134
104.27.198.139,134
104.27.199.199,134
104.27.202.225,134
104.27.200.9,134
104.27.202.3,134
104.27.202.13,134
104.27.201.191,134
104.27.203.110,134
104.27.204.217,134
104.27.205.163,134
104.27.204.106,134
104.27.205.18,134
104.27.206.43,134
104.27.205.80,134
104.27.207.44,134
104.27.207.208,134
104.27.207.118,134
172.67.48.29,134
172.67.50.78,134
172.67.56.156,134
172.67.56.254,134
172.67.60.203,134
172.67.48.86,134
172.67.62.34,134
172.67.53.42,134
172.67.53.143,134
172.67.54.62,134
172.67.54.213,134
172.67.63.93,134
172.67.61.58,134
172.67.59.126,134
172.67.59.34,134
172.67.50.105,134
172.67.56.204,134
104.22.64.192,135
104.22.64.25,135
104.22.64.219,135
104.22.65.185,135
104.22.64.240,135
104.22.65.143,135
104.22.65.205,135
104.22.66.102,135
104.22.67.70,135
104.22.67.114,135
104.22.67.77,135
104.22.67.185,135
104.22.67.194,135
104.22.68.209,135
104.22.70.194,135
104.22.70.205,135
104.22.71.42,135
104.22.71.81,135
104.22.70.244,135
104.22.72.95,135
104.22.71.11,135
104.22.70.90,135
104.22.73.65,135
104.22.73.33,135
104.22.74.187,135
104.22.74.219,135
104.22.73.34,135
104.22.76.5,135
104.22.76.46,135
104.22.75.179,135
104.22.76.96,135
104.22.77.92,135
104.22.77.141,135
104.22.77.52,135
104.22.79.71,135
104.22.78.93,135
104.27.192.6,135
104.27.192.139,135
104.27.192.158,135
104.27.194.49,135
104.27.194.140,135
104.27.195.165,135
104.27.194.20,135
104.27.196.62,135
104.27.196.212,135
104.27.197.158,135
104.27.196.169,135
104.27.198.116,135
104.27.199.31,135
104.27.199.185,135
104.27.200.11,135
104.27.199.198,135
104.27.201.119,135
104.27.200.101,135
104.27.201.183,135
104.27.202.91,135
104.27.201.202,135
104.27.201.68,135
104.27.200.162,135
104.27.202.99,135
104.27.202.187,135
104.27.201.115,135
104.27.203.214,135
104.27.204.26,135
104.27.205.49,135
104.27.205.53,135
104.27.205.140,135
104.27.206.8,135
104.27.205.153,135
104.27.205.161,135
104.27.206.177,135
104.27.206.188,135
104.27.207.99,135
104.27.207.148,135
172.67.56.14,135
172.67.60.122,135
172.67.61.78,135
172.67.48.212,135
172.67.55.157,135
172.67.56.1,135
172.67.58.22,135
172.67.59.1,135
172.67.51.162,135
172.67.62.218,135
172.67.61.213,135
172.67.50.255,135
172.67.60.95,135
172.67.60.228,135
104.22.64.57,136
104.22.64.46,136
104.22.64.198,136
104.22.64.89,136
104.22.64.113,136
104.22.64.107,136
104.22.65.227,136
104.22.65.19,136
104.22.65.82,136
104.22.65.160,136
104.22.65.42,136
104.22.65.166,136
104.22.65.225,136
104.22.65.142,136
104.22.65.204,136
104.22.66.16,136
104.22.66.94,136
104.22.66.215,136
104.22.67.90,136
104.22.67.37,136
104.22.67.235,136
104.22.67.252,136
104.22.67.104,136
104.22.68.110,136
104.22.67.7,136
104.22.68.51,136
104.22.67.253,136
104.22.69.7,136
104.22.69.44,136
104.22.69.38,136
104.22.68.201,136
104.22.68.171,136
104.22.69.71,136
104.22.69.106,136
104.22.70.112,136
104.22.70.166,136
104.22.70.235,136
104.22.70.115,136
104.22.70.252,136
104.22.70.125,136
104.22.71.19,136
104.22.70.27,136
104.22.69.239,136
104.22.69.210,136
104.22.72.81,136
104.22.71.111,136
104.22.71.152,136
104.22.70.69,136
104.22.71.255,136
104.22.72.52,136
104.22.72.168,136
104.22.74.7,136
104.22.73.78,136
104.22.74.126,136
104.22.74.13,136
104.22.75.102,136
104.22.75.214,136
104.22.75.51,136
104.22.75.239,136
104.22.75.162,136
104.22.75.183,136
104.22.75.208,136
104.22.75.229,136
104.22.73.181,136
104.22.73.119,136
104.22.74.216,136
104.22.74.88,136
104.22.75.250,136
104.22.75.221,136
104.22.74.218,136
104.22.74.167,136
104.22.77.22,136
104.22.76.194,136
104.22.77.81,136
104.22.77.216,136
104.22.76.146,136
104.22.77.252,136
104.22.78.236,136
104.22.79.3,136
104.22.77.224,136
104.22.79.7,136
104.22.78.83,136
104.22.79.157,136
104.22.78.55,136
104.22.76.244,136
104.22.79.170,136
104.27.192.4,136
104.27.192.159,136
104.27.192.225,136
104.27.192.148,136
104.27.192.166,136
104.27.192.116,136
104.27.193.82,136
104.27.194.163,136
104.27.194.178,136
104.27.195.64,136
104.27.194.21,136
104.27.195.174,136
104.27.193.152,136
104.27.195.97,136
104.27.193.172,136
104.27.194.228,136
104.27.192.174,136
104.27.194.211,136
104.27.193.235,136
104.27.196.72,136
104.27.196.191,136
104.27.196.248,136
104.27.197.12,136
104.27.197.56,136
104.27.196.28,136
104.27.198.167,136
104.27.197.211,136
